,id,drive_time,replication,scenario
0,Truck2,62,2,0
0,Truck31,62,2,0
0,Truck25,71,2,0
0,Truck38,62,2,0
0,Truck58,62,2,0
0,Truck115,62,2,0
0,Truck116,71,2,0
0,Truck128,62,2,0
0,Truck135,62,2,0
0,Truck136,62,2,0
0,Truck130,71,2,0
0,Truck126,72,2,0
0,Truck9,163,2,0
0,Truck144,71,2,0
0,Truck157,62,2,0
0,Truck170,62,2,0
0,Truck19,174,2,0
0,Truck178,62,2,0
0,Truck26,174,2,0
0,Truck30,174,2,0
0,Truck42,164,2,0
0,Truck199,62,2,0
0,Truck193,71,2,0
0,Truck213,62,2,0
0,Truck207,71,2,0
0,Truck226,62,2,0
0,Truck86,163,2,0
0,Truck72,174,2,0
0,Truck75,174,2,0
0,Truck84,164,2,0
0,Truck10,220,2,0
0,Truck23,210,2,0
0,Truck93,163,2,0
0,Truck82,174,2,0
0,Truck14,221,2,0
0,Truck228,71,2,0
0,Truck24,220,2,0
0,Truck235,71,2,0
0,Truck12,232,2,0
0,Truck231,72,2,0
0,Truck248,62,2,0
0,Truck28,221,2,0
0,Truck17,232,2,0
0,Truck112,164,2,0
0,Truck51,210,2,0
0,Truck249,71,2,0
0,Truck110,174,2,0
0,Truck256,71,2,0
0,Truck275,62,2,0
0,Truck276,62,2,0
0,Truck282,62,2,0
0,Truck81,210,2,0
0,Truck52,232,2,0
0,Truck54,232,2,0
0,Truck4,268,2,0
0,Truck147,164,2,0
0,Truck11,268,2,0
0,Truck156,163,2,0
0,Truck154,164,2,0
0,Truck68,232,2,0
0,Truck304,62,2,0
0,Truck5,279,2,0
0,Truck152,174,2,0
0,Truck100,210,2,0
0,Truck298,71,2,0
0,Truck8,279,2,0
0,Truck168,164,2,0
0,Truck20,275,2,0
0,Truck91,221,2,0
0,Truck163,174,2,0
0,Truck98,221,2,0
0,Truck312,71,2,0
0,Truck331,62,2,0
0,Truck332,62,2,0
0,Truck45,268,2,0
0,Truck15,290,2,0
0,Truck16,290,2,0
0,Truck35,276,2,0
0,Truck101,232,2,0
0,Truck53,268,2,0
0,Truck198,163,2,0
0,Truck36,279,2,0
0,Truck196,164,2,0
0,Truck345,62,2,0
0,Truck29,290,2,0
0,Truck212,163,2,0
0,Truck122,232,2,0
0,Truck57,279,2,0
0,Truck205,174,2,0
0,Truck208,174,2,0
0,Truck41,295,2,0
0,Truck43,290,2,0
0,Truck44,290,2,0
0,Truck143,220,2,0
0,Truck366,62,2,0
0,Truck46,295,2,0
0,Truck361,71,2,0
0,Truck357,72,2,0
0,Truck374,62,2,0
0,Truck233,163,2,0
0,Truck77,276,2,0
0,Truck0,333,2,0
0,Truck95,268,2,0
0,Truck78,279,2,0
0,Truck65,290,2,0
0,Truck371,72,2,0
0,Truck388,62,2,0
0,Truck85,279,2,0
0,Truck89,279,2,0
0,Truck236,174,2,0
0,Truck67,295,2,0
0,Truck71,290,2,0
0,Truck395,62,2,0
0,Truck254,163,2,0
0,Truck104,275,2,0
0,Truck191,210,2,0
0,Truck1,347,2,0
0,Truck166,232,2,0
0,Truck21,333,2,0
0,Truck259,164,2,0
0,Truck173,232,2,0
0,Truck408,62,2,0
0,Truck409,62,2,0
0,Truck268,163,2,0
0,Truck106,279,2,0
0,Truck88,295,2,0
0,Truck399,72,2,0
0,Truck416,62,2,0
0,Truck261,174,2,0
0,Truck264,174,2,0
0,Truck97,295,2,0
0,Truck422,62,2,0
0,Truck124,279,2,0
0,Truck206,220,2,0
0,Truck221,210,2,0
0,Truck114,290,2,0
0,Truck133,276,2,0
0,Truck151,268,2,0
0,Truck37,352,2,0
0,Truck63,333,2,0
0,Truck127,290,2,0
0,Truck227,220,2,0
0,Truck434,72,2,0
0,Truck451,62,2,0
0,Truck70,333,2,0
0,Truck310,163,2,0
0,Truck296,174,2,0
0,Truck299,174,2,0
0,Truck160,275,2,0
0,Truck441,72,2,0
0,Truck457,62,2,0
0,Truck172,268,2,0
0,Truck303,174,2,0
0,Truck18,380,2,0
0,Truck142,290,2,0
0,Truck161,276,2,0
0,Truck146,295,2,0
0,Truck245,221,2,0
0,Truck459,71,2,0
0,Truck185,268,2,0
0,Truck320,174,2,0
0,Truck32,380,2,0
0,Truck33,380,2,0
0,Truck155,290,2,0
0,Truck241,232,2,0
0,Truck192,268,2,0
0,Truck336,164,2,0
0,Truck182,276,2,0
0,Truck79,352,2,0
0,Truck105,333,2,0
0,Truck200,268,2,0
0,Truck3,409,2,0
0,Truck187,279,2,0
0,Truck47,380,2,0
0,Truck269,220,2,0
0,Truck284,210,2,0
0,Truck189,276,2,0
0,Truck117,332,2,0
0,Truck492,62,2,0
0,Truck194,279,2,0
0,Truck177,290,2,0
0,Truck289,210,2,0
0,Truck499,62,2,0
0,Truck60,380,2,0
0,Truck184,290,2,0
0,Truck283,220,2,0
0,Truck203,276,2,0
0,Truck108,347,2,0
0,Truck131,332,2,0
0,Truck490,72,2,0
0,Truck507,62,2,0
0,Truck220,268,2,0
0,Truck355,174,2,0
0,Truck364,164,2,0
0,Truck210,276,2,0
0,Truck107,352,2,0
0,Truck138,332,2,0
0,Truck215,279,2,0
0,Truck217,276,2,0
0,Truck508,71,2,0
0,Truck118,352,2,0
0,Truck145,332,2,0
0,Truck234,268,2,0
0,Truck230,275,2,0
0,Truck224,276,2,0
0,Truck515,71,2,0
0,Truck121,352,2,0
0,Truck242,268,2,0
0,Truck48,409,2,0
0,Truck311,220,2,0
0,Truck324,210,2,0
0,Truck308,221,2,0
0,Truck132,352,2,0
0,Truck134,347,2,0
0,Truck297,232,2,0
0,Truck535,62,2,0
0,Truck380,174,2,0
0,Truck219,290,2,0
0,Truck306,232,2,0
0,Truck59,409,2,0
0,Truck243,279,2,0
0,Truck102,380,2,0
0,Truck103,380,2,0
0,Truck322,221,2,0
0,Truck150,347,2,0
0,Truck7,449,2,0
0,Truck66,409,2,0
0,Truck69,409,2,0
0,Truck109,380,2,0
0,Truck258,275,2,0
0,Truck149,352,2,0
0,Truck180,332,2,0
0,Truck175,333,2,0
0,Truck415,163,2,0
0,Truck73,409,2,0
0,Truck76,409,2,0
0,Truck237,295,2,0
0,Truck240,290,2,0
0,Truck352,210,2,0
0,Truck162,347,2,0
0,Truck164,347,2,0
0,Truck80,409,2,0
0,Truck123,380,2,0
0,Truck247,290,2,0
0,Truck346,220,2,0
0,Truck343,221,2,0
0,Truck169,347,2,0
0,Truck171,347,2,0
0,Truck87,409,2,0
0,Truck350,221,2,0
0,Truck201,332,2,0
0,Truck94,409,2,0
0,Truck373,210,2,0
0,Truck348,232,2,0
0,Truck267,290,2,0
0,Truck287,276,2,0
0,Truck50,448,2,0
0,Truck305,268,2,0
0,Truck49,449,2,0
0,Truck439,174,2,0
0,Truck387,210,2,0
0,Truck56,449,2,0
0,Truck159,380,2,0
0,Truck281,290,2,0
0,Truck394,210,2,0
0,Truck301,276,2,0
0,Truck378,221,2,0
0,Truck204,347,2,0
0,Truck605,62,2,0
0,Truck64,448,2,0
0,Truck125,409,2,0
0,Truck385,221,2,0
0,Truck209,352,2,0
0,Truck612,62,2,0
0,Truck129,409,2,0
0,Truck469,164,2,0
0,Truck9,62,1,0
0,Truck7,72,1,0
0,Truck31,62,1,0
0,Truck37,62,1,0
0,Truck28,72,1,0
0,Truck44,62,1,0
0,Truck56,72,1,0
0,Truck67,71,1,0
0,Truck80,62,1,0
0,Truck74,71,1,0
0,Truck115,62,1,0
0,Truck105,72,1,0
0,Truck121,62,1,0
0,Truck112,72,1,0
0,Truck123,71,1,0
0,Truck119,72,1,0
0,Truck136,62,1,0
0,Truck2,163,1,0
0,Truck21,164,1,0
0,Truck30,163,1,0
0,Truck16,174,1,0
0,Truck19,174,1,0
0,Truck185,62,1,0
0,Truck179,71,1,0
0,Truck191,62,1,0
0,Truck192,62,1,0
0,Truck51,163,1,0
0,Truck49,164,1,0
0,Truck182,72,1,0
0,Truck65,163,1,0
0,Truck54,174,1,0
0,Truck58,174,1,0
0,Truck61,174,1,0
0,Truck219,62,1,0
0,Truck3,220,1,0
0,Truck214,71,1,0
0,Truck86,163,1,0
0,Truck72,174,1,0
0,Truck75,174,1,0
0,Truck5,232,1,0
0,Truck10,232,1,0
0,Truck255,62,1,0
0,Truck107,174,1,0
0,Truck45,220,1,0
0,Truck252,72,1,0
0,Truck282,62,1,0
0,Truck128,174,1,0
0,Truck66,220,1,0
0,Truck81,210,1,0
0,Truck4,268,1,0
0,Truck135,174,1,0
0,Truck138,174,1,0
0,Truck73,220,1,0
0,Truck88,210,1,0
0,Truck77,221,1,0
0,Truck163,163,1,0
0,Truck152,174,1,0
0,Truck100,210,1,0
0,Truck32,268,1,0
0,Truck1,290,1,0
0,Truck114,210,1,0
0,Truck87,232,1,0
0,Truck308,72,1,0
0,Truck173,174,1,0
0,Truck6,295,1,0
0,Truck108,220,1,0
0,Truck319,71,1,0
0,Truck29,279,1,0
0,Truck177,174,1,0
0,Truck18,295,1,0
0,Truck122,220,1,0
0,Truck137,210,1,0
0,Truck42,276,1,0
0,Truck333,71,1,0
0,Truck110,232,1,0
0,Truck346,62,1,0
0,Truck59,268,1,0
0,Truck27,295,1,0
0,Truck55,275,1,0
0,Truck34,295,1,0
0,Truck149,210,1,0
0,Truck124,232,1,0
0,Truck205,174,1,0
0,Truck39,295,1,0
0,Truck63,276,1,0
0,Truck129,232,1,0
0,Truck131,232,1,0
0,Truck350,72,1,0
0,Truck64,279,1,0
0,Truck212,174,1,0
0,Truck46,295,1,0
0,Truck76,275,1,0
0,Truck150,220,1,0
0,Truck70,276,1,0
0,Truck53,295,1,0
0,Truck157,220,1,0
0,Truck170,210,1,0
0,Truck172,210,1,0
0,Truck381,62,1,0
0,Truck0,333,1,0
0,Truck226,174,1,0
0,Truck62,295,1,0
0,Truck90,275,1,0
0,Truck388,62,1,0
0,Truck236,174,1,0
0,Truck71,290,1,0
0,Truck171,220,1,0
0,Truck184,210,1,0
0,Truck91,276,1,0
0,Truck159,232,1,0
0,Truck109,268,1,0
0,Truck254,163,1,0
0,Truck92,279,1,0
0,Truck98,276,1,0
0,Truck164,232,1,0
0,Truck166,232,1,0
0,Truck401,62,1,0
0,Truck103,279,1,0
0,Truck247,174,1,0
0,Truck33,332,1,0
0,Truck17,347,1,0
0,Truck40,332,1,0
0,Truck261,174,1,0
0,Truck196,221,1,0
0,Truck423,62,1,0
0,Truck280,164,1,0
0,Truck206,220,1,0
0,Truck23,352,1,0
0,Truck143,268,1,0
0,Truck289,163,1,0
0,Truck127,279,1,0
0,Truck210,221,1,0
0,Truck38,347,1,0
0,Truck151,268,1,0
0,Truck116,295,1,0
0,Truck118,295,1,0
0,Truck120,290,1,0
0,Truck43,347,1,0
0,Truck141,279,1,0
0,Truck125,295,1,0
0,Truck147,276,1,0
0,Truck52,347,1,0
0,Truck310,163,1,0
0,Truck296,174,1,0
0,Truck11,380,1,0
0,Truck132,295,1,0
0,Truck154,276,1,0
0,Truck231,221,1,0
0,Truck457,62,1,0
0,Truck155,279,1,0
0,Truck227,232,1,0
0,Truck84,333,1,0
0,Truck26,380,1,0
0,Truck248,220,1,0
0,Truck96,332,1,0
0,Truck234,232,1,0
0,Truck186,268,1,0
0,Truck169,279,1,0
0,Truck329,164,1,0
0,Truck462,72,1,0
0,Truck158,295,1,0
0,Truck188,275,1,0
0,Truck275,210,1,0
0,Truck79,352,1,0
0,Truck331,174,1,0
0,Truck343,164,1,0
0,Truck195,275,1,0
0,Truck94,347,1,0
0,Truck207,268,1,0
0,Truck194,279,1,0
0,Truck174,295,1,0
0,Truck176,290,1,0
0,Truck291,210,1,0
0,Truck93,352,1,0
0,Truck357,164,1,0
0,Truck181,295,1,0
0,Truck209,275,1,0
0,Truck494,71,1,0
0,Truck106,347,1,0
0,Truck271,232,1,0
0,Truck507,62,1,0
0,Truck24,409,1,0
0,Truck355,174,1,0
0,Truck68,380,1,0
0,Truck216,275,1,0
0,Truck111,352,1,0
0,Truck276,232,1,0
0,Truck133,333,1,0
0,Truck193,295,1,0
0,Truck297,220,1,0
0,Truck140,333,1,0
0,Truck301,221,1,0
0,Truck373,174,1,0
0,Truck95,380,1,0
0,Truck244,275,1,0
0,Truck318,220,1,0
0,Truck304,232,1,0
0,Truck221,295,1,0
0,Truck225,290,1,0
0,Truck536,71,1,0
0,Truck142,352,1,0
0,Truck548,62,1,0
0,Truck549,62,1,0
0,Truck262,268,1,0
0,Truck250,279,1,0
0,Truck394,174,1,0
0,Truck406,164,1,0
0,Truck228,295,1,0
0,Truck232,290,1,0
0,Truck233,290,1,0
0,Truck332,220,1,0
0,Truck345,210,1,0
0,Truck175,333,1,0
0,Truck14,449,1,0
0,Truck117,380,1,0
0,Truck235,295,1,0
0,Truck240,290,1,0
0,Truck352,210,1,0
0,Truck354,210,1,0
0,Truck259,276,1,0
0,Truck156,352,1,0
0,Truck187,332,1,0
0,Truck22,448,1,0
0,Truck359,210,1,0
0,Truck167,352,1,0
0,Truck189,333,1,0
0,Truck284,268,1,0
0,Truck267,279,1,0
0,Truck418,174,1,0
0,Truck273,276,1,0
0,Truck560,72,1,0
0,Truck36,448,1,0
0,Truck35,449,1,0
0,Truck274,279,1,0
0,Truck422,174,1,0
0,Truck434,164,1,0
0,Truck256,295,1,0
0,Truck101,409,1,0
0,Truck104,409,1,0
0,Truck429,174,1,0
0,Truck145,380,1,0
0,Truck380,210,1,0
0,Truck364,221,1,0
0,Truck353,232,1,0
0,Truck590,62,1,0
0,Truck591,62,1,0
0,Truck50,448,1,0
0,Truck305,268,1,0
0,Truck450,163,1,0
0,Truck294,276,1,0
0,Truck197,347,1,0
0,Truck199,347,1,0
0,Truck222,332,1,0
0,Truck362,232,1,0
0,Truck598,62,1,0
0,Truck57,448,1,0
0,Truck295,279,1,0
0,Truck299,279,1,0
0,Truck279,295,1,0
0,Truck307,275,1,0
0,Truck198,352,1,0
0,Truck229,332,1,0
0,Truck369,232,1,0
0,Truck588,72,1,0
0,Truck605,62,1,0
0,Truck302,279,1,0
0,Truck453,174,1,0
0,Truck288,290,1,0
0,Truck213,347,1,0
0,Truck469,164,1,0
0,Truck4,71,2,1
0,Truck37,62,2,1
0,Truck28,72,2,1
0,Truck42,72,2,1
0,Truck67,71,2,1
0,Truck63,72,2,1
0,Truck80,62,2,1
0,Truck100,62,2,1
0,Truck95,71,2,1
0,Truck115,62,2,1
