,id,drive_time,replication,scenario
0,Truck0,164,2,1
0,Truck150,62,2,1
0,Truck140,72,2,1
0,Truck156,62,2,1
0,Truck2,174,2,1
0,Truck14,164,2,1
0,Truck23,163,2,1
0,Truck9,174,2,1
0,Truck161,72,2,1
0,Truck30,174,2,1
0,Truck191,62,2,1
0,Truck51,163,2,1
0,Truck40,174,2,1
0,Truck198,62,2,1
0,Truck212,62,2,1
0,Truck72,163,2,1
0,Truck203,72,2,1
0,Truck68,174,2,1
0,Truck16,210,2,1
0,Truck226,62,2,1
0,Truck75,174,2,1
0,Truck84,164,2,1
0,Truck93,163,2,1
0,Truck79,174,2,1
0,Truck91,164,2,1
0,Truck17,220,2,1
0,Truck24,220,2,1
0,Truck231,72,2,1
0,Truck105,164,2,1
0,Truck242,71,2,1
0,Truck31,232,2,1
0,Truck121,174,2,1
0,Truck74,210,2,1
0,Truck56,221,2,1
0,Truck142,163,2,1
0,Truck59,232,2,1
0,Truck61,232,2,1
0,Truck280,72,2,1
0,Truck154,164,2,1
0,Truck77,221,2,1
0,Truck18,268,2,1
0,Truck1,279,2,1
0,Truck149,174,2,1
0,Truck7,276,2,1
0,Truck109,210,2,1
0,Truck305,71,2,1
0,Truck32,268,2,1
0,Truck21,276,2,1
0,Truck325,62,2,1
0,Truck38,268,2,1
0,Truck39,268,2,1
0,Truck45,268,2,1
0,Truck46,268,2,1
0,Truck29,279,2,1
0,Truck177,174,2,1
0,Truck180,174,2,1
0,Truck11,295,2,1
0,Truck112,221,2,1
0,Truck36,279,2,1
0,Truck137,210,2,1
0,Truck119,221,2,1
0,Truck333,71,2,1
0,Truck346,62,2,1
0,Truck66,268,2,1
0,Truck34,295,2,1
0,Truck62,275,2,1
0,Truck133,221,2,1
0,Truck360,62,2,1
0,Truck205,174,2,1
0,Truck44,290,2,1
0,Truck129,232,2,1
0,Truck131,232,2,1
0,Truck81,268,2,1
0,Truck64,279,2,1
0,Truck224,164,2,1
0,Truck48,295,2,1
0,Truck147,221,2,1
0,Truck138,232,2,1
0,Truck88,268,2,1
0,Truck157,220,2,1
0,Truck143,232,2,1
0,Truck229,174,2,1
0,Truck164,220,2,1
0,Truck375,71,2,1
0,Truck12,332,2,1
0,Truck371,72,2,1
0,Truck101,268,2,1
0,Truck233,174,2,1
0,Truck171,220,2,1
0,Truck184,210,2,1
0,Truck382,71,2,1
0,Truck19,332,2,1
0,Truck395,62,2,1
0,Truck108,268,2,1
0,Truck96,279,2,1
0,Truck193,210,2,1
0,Truck175,221,2,1
0,Truck3,347,2,1
0,Truck26,332,2,1
0,Truck116,268,2,1
0,Truck247,174,2,1
0,Truck83,295,2,1
0,Truck396,71,2,1
0,Truck10,347,2,1
0,Truck33,332,2,1
0,Truck408,62,2,1
0,Truck13,352,2,1
0,Truck399,72,2,1
0,Truck35,333,2,1
0,Truck264,174,2,1
0,Truck99,290,2,1
0,Truck214,210,2,1
0,Truck47,332,2,1
0,Truck185,232,2,1
0,Truck102,295,2,1
0,Truck106,290,2,1
0,Truck107,290,2,1
0,Truck206,220,2,1
0,Truck417,71,2,1
0,Truck49,333,2,1
0,Truck114,290,2,1
0,Truck210,221,2,1
0,Truck420,72,2,1
0,Truck151,268,2,1
0,Truck285,174,2,1
0,Truck118,295,2,1
0,Truck235,210,2,1
0,Truck208,232,2,1
0,Truck5,380,2,1
0,Truck123,295,2,1
0,Truck240,210,2,1
0,Truck52,347,2,1
0,Truck70,333,2,1
0,Truck130,295,2,1
0,Truck135,290,2,1
0,Truck445,71,2,1
0,Truck55,352,2,1
0,Truck82,332,2,1
0,Truck220,232,2,1
0,Truck441,72,2,1
0,Truck457,62,2,1
0,Truck159,279,2,1
0,Truck303,174,2,1
0,Truck139,295,2,1
0,Truck141,290,2,1
0,Truck241,220,2,1
0,Truck58,352,2,1
0,Truck89,332,2,1
0,Truck324,163,2,1
0,Truck25,380,2,1
0,Truck168,276,2,1
0,Truck65,352,2,1
0,Truck69,352,2,1
0,Truck270,210,2,1
0,Truck76,352,2,1
0,Truck103,332,2,1
0,Truck98,333,2,1
0,Truck176,279,2,1
0,Truck188,275,2,1
0,Truck277,210,2,1
0,Truck473,71,2,1
0,Truck87,347,2,1
0,Truck110,332,2,1
0,Truck469,72,2,1
0,Truck183,279,2,1
0,Truck187,279,2,1
0,Truck343,164,2,1
0,Truck170,290,2,1
0,Truck189,276,2,1
0,Truck266,221,2,1
0,Truck86,352,2,1
0,Truck94,347,2,1
0,Truck117,332,2,1
0,Truck493,62,2,1
0,Truck352,163,2,1
0,Truck190,279,2,1
0,Truck54,380,2,1
0,Truck172,295,2,1
0,Truck174,295,2,1
0,Truck196,276,2,1
0,Truck97,352,2,1
0,Truck213,268,2,1
0,Truck197,279,2,1
0,Truck345,174,2,1
0,Truck179,295,2,1
0,Truck296,210,2,1
0,Truck271,232,2,1
0,Truck126,333,2,1
0,Truck366,163,2,1
0,Truck276,232,2,1
0,Truck227,268,2,1
0,Truck211,279,2,1
0,Truck145,332,2,1
0,Truck283,232,2,1
0,Truck41,409,2,1
0,Truck301,221,2,1
0,Truck237,275,2,1
0,Truck311,220,2,1
0,Truck128,352,2,1
0,Truck136,347,2,1
0,Truck297,232,2,1
0,Truck535,62,2,1
0,Truck232,279,2,1
0,Truck392,164,2,1
0,Truck331,210,2,1
0,Truck238,276,2,1
0,Truck315,221,2,1
0,Truck255,268,2,1
0,Truck239,279,2,1
0,Truck243,279,2,1
0,Truck390,174,2,1
0,Truck322,221,2,1
0,Truck146,352,2,1
0,Truck230,295,2,1
0,Truck258,275,2,1
0,Truck252,276,2,1
0,Truck556,62,2,1
0,Truck15,448,2,1
0,Truck73,409,2,1
0,Truck257,279,2,1
0,Truck265,275,2,1
0,Truck259,276,2,1
0,Truck160,352,2,1
0,Truck124,380,2,1
0,Truck359,210,2,1
0,Truck361,210,2,1
0,Truck163,352,2,1
0,Truck194,332,2,1
0,Truck332,232,2,1
0,Truck267,279,2,1
0,Truck249,295,2,1
0,Truck251,295,2,1
0,Truck254,290,2,1
0,Truck178,347,2,1
0,Truck291,268,2,1
0,Truck434,164,2,1
0,Truck256,295,2,1
0,Truck261,290,2,1
0,Truck181,352,2,1
0,Truck348,232,2,1
0,Truck567,72,2,1
0,Truck583,62,2,1
0,Truck298,268,2,1
0,Truck104,409,2,1
0,Truck144,380,2,1
0,Truck215,332,2,1
0,Truck353,232,2,1
0,Truck355,232,2,1
0,Truck304,268,2,1
0,Truck292,279,2,1
0,Truck436,174,2,1
0,Truck152,380,2,1
0,Truck275,290,2,1
0,Truck195,352,2,1
0,Truck199,347,2,1
0,Truck222,332,2,1
0,Truck598,62,2,1
0,Truck299,279,2,1
0,Truck455,164,2,1
0,Truck158,380,2,1
0,Truck281,290,2,1
0,Truck282,290,2,1
0,Truck592,71,2,1
0,Truck367,232,2,1
0,Truck464,163,2,1
0,Truck122,409,2,1
0,Truck302,279,2,1
0,Truck450,174,2,1
0,Truck462,164,2,1
0,Truck165,380,2,1
0,Truck289,290,2,1
0,Truck401,210,2,1
0,Truck236,332,2,1
0,Truck2,62,1,1
0,Truck16,62,1,1
0,Truck23,62,1,1
0,Truck35,72,1,1
0,Truck65,62,1,1
0,Truck66,62,1,1
0,Truck67,71,1,1
0,Truck63,72,1,1
0,Truck79,62,1,1
0,Truck121,62,1,1
0,Truck128,62,1,1
0,Truck144,71,1,1
0,Truck156,62,1,1
0,Truck147,72,1,1
0,Truck9,174,1,1
0,Truck12,174,1,1
0,Truck158,71,1,1
0,Truck177,62,1,1
0,Truck30,174,1,1
0,Truck191,62,1,1
0,Truck37,174,1,1
0,Truck40,174,1,1
0,Truck44,174,1,1
0,Truck47,174,1,1
0,Truck56,164,1,1
0,Truck206,62,1,1
0,Truck70,164,1,1
0,Truck68,174,1,1
0,Truck214,71,1,1
0,Truck7,221,1,1
0,Truck217,72,1,1
0,Truck233,62,1,1
0,Truck17,220,1,1
0,Truck86,174,1,1
0,Truck89,174,1,1
0,Truck24,220,1,1
0,Truck235,71,1,1
0,Truck105,164,1,1
0,Truck103,174,1,1
0,Truck38,220,1,1
0,Truck249,71,1,1
0,Truck261,62,1,1
0,Truck110,174,1,1
0,Truck42,221,1,1
0,Truck31,232,1,1
0,Truck268,62,1,1
0,Truck269,62,1,1
0,Truck126,164,1,1
0,Truck259,72,1,1
0,Truck133,164,1,1
0,Truck72,210,1,1
0,Truck270,71,1,1
0,Truck266,72,1,1
0,Truck3,268,1,1
0,Truck149,163,1,1
0,Truck135,174,1,1
0,Truck88,210,1,1
0,Truck284,71,1,1
0,Truck59,232,1,1
0,Truck280,72,1,1
0,Truck142,174,1,1
0,Truck77,221,1,1
0,Truck87,220,1,1
0,Truck73,232,1,1
0,Truck311,62,1,1
0,Truck159,174,1,1
0,Truck14,276,1,1
0,Truck305,71,1,1
0,Truck15,279,1,1
0,Truck180,174,1,1
0,Truck11,295,1,1
0,Truck112,221,1,1
0,Truck196,164,1,1
0,Truck22,290,1,1
0,Truck122,220,1,1
0,Truck60,268,1,1
0,Truck55,275,1,1
0,Truck115,232,1,1
0,Truck353,62,1,1
0,Truck198,174,1,1
0,Truck34,295,1,1
0,Truck36,290,1,1
0,Truck124,232,1,1
0,Truck360,62,1,1
0,Truck140,221,1,1
0,Truck226,163,1,1
0,Truck46,295,1,1
0,Truck50,290,1,1
0,Truck150,220,1,1
0,Truck361,71,1,1
0,Truck136,232,1,1
0,Truck373,62,1,1
0,Truck53,295,1,1
0,Truck57,290,1,1
0,Truck154,221,1,1
0,Truck0,333,1,1
0,Truck240,163,1,1
0,Truck64,290,1,1
0,Truck84,276,1,1
0,Truck152,232,1,1
0,Truck102,268,1,1
0,Truck109,268,1,1
0,Truck243,174,1,1
0,Truck78,290,1,1
0,Truck98,276,1,1
0,Truck175,221,1,1
0,Truck389,71,1,1
0,Truck164,232,1,1
0,Truck385,72,1,1
0,Truck81,295,1,1
0,Truck185,220,1,1
0,Truck171,232,1,1
0,Truck28,333,1,1
0,Truck118,275,1,1
0,Truck192,220,1,1
0,Truck403,71,1,1
0,Truck113,279,1,1
0,Truck199,220,1,1
0,Truck212,210,1,1
0,Truck119,276,1,1
0,Truck410,71,1,1
0,Truck422,62,1,1
0,Truck137,268,1,1
0,Truck194,232,1,1
0,Truck430,62,1,1
0,Truck289,163,1,1
0,Truck278,174,1,1
0,Truck114,290,1,1
0,Truck282,174,1,1
0,Truck116,295,1,1
0,Truck427,72,1,1
0,Truck157,268,1,1
0,Truck5,380,1,1
0,Truck123,295,1,1
0,Truck148,279,1,1
0,Truck231,221,1,1
0,Truck51,352,1,1
0,Truck155,279,1,1
0,Truck19,380,1,1
0,Truck139,295,1,1
0,Truck254,210,1,1
0,Truck238,221,1,1
0,Truck452,71,1,1
0,Truck58,352,1,1
0,Truck62,352,1,1
0,Truck227,232,1,1
0,Truck465,62,1,1
0,Truck178,268,1,1
0,Truck166,279,1,1
0,Truck310,174,1,1
0,Truck322,164,1,1
0,Truck25,380,1,1
0,Truck472,62,1,1
0,Truck320,174,1,1
0,Truck32,380,1,1
0,Truck33,380,1,1
0,Truck181,275,1,1
0,Truck255,220,1,1
0,Truck80,347,1,1
0,Truck324,174,1,1
0,Truck39,380,1,1
0,Truck163,290,1,1
0,Truck277,210,1,1
0,Truck473,71,1,1
0,Truck334,174,1,1
0,Truck165,295,1,1
0,Truck480,71,1,1
0,Truck94,347,1,1
0,Truck493,62,1,1
0,Truck10,409,1,1
0,Truck54,380,1,1
0,Truck202,275,1,1
0,Truck93,352,1,1
0,Truck101,347,1,1
0,Truck262,232,1,1
0,Truck213,268,1,1
0,Truck61,380,1,1
0,Truck283,220,1,1
0,Truck296,210,1,1
0,Truck100,352,1,1
0,Truck106,347,1,1
0,Truck108,347,1,1
0,Truck507,62,1,1
0,Truck27,409,1,1
0,Truck352,174,1,1
0,Truck364,164,1,1
0,Truck216,275,1,1
0,Truck210,276,1,1
0,Truck501,71,1,1
0,Truck107,352,1,1
0,Truck111,352,1,1
0,Truck228,268,1,1
0,Truck215,279,1,1
0,Truck75,380,1,1
0,Truck294,221,1,1
0,Truck520,62,1,1
0,Truck234,268,1,1
0,Truck380,163,1,1
0,Truck205,290,1,1
0,Truck224,276,1,1
0,Truck515,71,1,1
0,Truck45,409,1,1
0,Truck48,409,1,1
0,Truck229,279,1,1
0,Truck394,163,1,1
0,Truck52,409,1,1
0,Truck383,174,1,1
0,Truck96,380,1,1
0,Truck219,290,1,1
0,Truck529,71,1,1
0,Truck143,347,1,1
0,Truck304,232,1,1
0,Truck387,174,1,1
0,Truck390,174,1,1
0,Truck221,295,1,1
0,Truck340,210,1,1
0,Truck245,276,1,1
0,Truck173,332,1,1
0,Truck168,333,1,1
0,Truck408,163,1,1
0,Truck246,279,1,1
0,Truck406,164,1,1
0,Truck230,295,1,1
0,Truck345,210,1,1
0,Truck347,210,1,1
0,Truck252,276,1,1
0,Truck329,221,1,1
0,Truck153,352,1,1
0,Truck556,62,1,1
0,Truck253,279,1,1
0,Truck401,174,1,1
0,Truck354,210,1,1
0,Truck325,232,1,1
0,Truck562,62,1,1
0,Truck182,333,1,1
0,Truck21,449,1,1
0,Truck83,409,1,1
0,Truck242,295,1,1
0,Truck244,295,1,1
0,Truck247,290,1,1
0,Truck359,210,1,1
0,Truck167,352,1,1
0,Truck169,347,1,1
0,Truck332,232,1,1
0,Truck189,333,1,1
0,Truck90,409,1,1
0,Truck415,174,1,1
0,Truck273,276,1,1
0,Truck564,71,1,1
0,Truck170,352,1,1
0,Truck174,352,1,1
0,Truck341,232,1,1
0,Truck576,62,1,1
0,Truck357,221,1,1
0,Truck208,332,1,1
0,Truck348,232,1,1
0,Truck203,333,1,1
0,Truck104,409,1,1
0,Truck263,295,1,1
0,Truck287,276,1,1
0,Truck184,352,1,1
0,Truck574,72,1,1
0,Truck49,449,1,1
0,Truck436,174,1,1
0,Truck151,380,1,1
0,Truck272,295,1,1
0,Truck274,290,1,1
0,Truck275,290,1,1
0,Truck371,221,1,1
0,Truck197,347,1,1
0,Truck222,332,1,1
0,Truck581,72,1,1
0,Truck455,164,1,1
0,Truck396,210,1,1
0,Truck125,409,1,1
0,Truck453,174,1,1
0,Truck1,495,1,1
0,Truck4,495,1,1
0,Truck209,352,1,1
0,Truck595,72,1,1
0,Truck612,62,1,1
0,Truck129,409,1,1
0,Truck469,164,1,1
